ea_id,source_dataset,source_split,source_id,video_path,audio_path,text_path,start,end,language,face_quality,audio_quality,text_quality,usable_for_micro,usable_for_l4
EAQ000001,CH-SIMS,train,CH-SIMS/video_0001/0001,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0001.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0001.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0001,0.00,1.32,zh,high,high,high,true,true
EAQ000002,CH-SIMS,train,CH-SIMS/video_0001/0002,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0002.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0002.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0002,0.00,2.15,zh,high,high,high,true,true
EAQ000003,CH-SIMS,test,CH-SIMS/video_0001/0003,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0003.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0003.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0003,0.00,3.33,zh,high,high,high,true,true
EAQ000004,CH-SIMS,train,CH-SIMS/video_0001/0004,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0004.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0004.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0004,0.00,3.93,zh,high,high,high,true,true
EAQ000005,CH-SIMS,train,CH-SIMS/video_0001/0005,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0005.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0005.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0005,0.00,2.37,zh,high,high,high,true,true
EAQ000006,CH-SIMS,train,CH-SIMS/video_0001/0007,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0007.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0007.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0007,0.00,5.97,zh,high,high,high,true,true
EAQ000007,CH-SIMS,train,CH-SIMS/video_0001/0008,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0008.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0008.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0008,0.00,2.73,zh,high,high,high,true,true
EAQ000008,CH-SIMS,train,CH-SIMS/video_0001/0010,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0010.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0010.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0010,0.00,3.33,zh,high,high,high,true,true
EAQ000009,CH-SIMS,train,CH-SIMS/video_0001/0011,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0011.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0011.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0011,0.00,2.15,zh,high,high,high,true,true
EAQ000010,CH-SIMS,test,CH-SIMS/video_0001/0017,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0017.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0017.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0017,0.00,4.69,zh,high,high,high,true,true
EAQ000011,CH-SIMS,train,CH-SIMS/video_0001/0018,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0018.mp4,/root/autodl-tmp/data/datasets/ch_sims/Raw.zip::Raw/video_0001/0018.mp4,/root/autodl-tmp/data/datasets/ch_sims/label.csv#video_0001/0018,0.00,3.09,zh,high,high,high,true,true
EAQ000012,MELD,train,MELD/train/dia0/utt4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt4.mp4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt4.mp4,/root/autodl-tmp/data/datasets/meld/annotations/train_sent_emo.csv#Dialogue_ID=0&Utterance_ID=4,0.00,6.49,en,high,high,high,true,true
EAQ000013,MELD,train,MELD/train/dia0/utt10,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt10.mp4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt10.mp4,/root/autodl-tmp/data/datasets/meld/annotations/train_sent_emo.csv#Dialogue_ID=0&Utterance_ID=10,0.00,2.02,en,high,high,high,true,true
EAQ000014,MELD,train,MELD/train/dia0/utt12,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt12.mp4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt12.mp4,/root/autodl-tmp/data/datasets/meld/annotations/train_sent_emo.csv#Dialogue_ID=0&Utterance_ID=12,0.00,3.09,en,high,high,high,true,true
EAQ000015,MELD,train,MELD/train/dia1/utt0,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia1_utt0.mp4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia1_utt0.mp4,/root/autodl-tmp/data/datasets/meld/annotations/train_sent_emo.csv#Dialogue_ID=1&Utterance_ID=0,0.00,2.48,en,high,high,high,true,true
EAQ000016,MELD,train,MELD/train/dia1/utt1,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia1_utt1.mp4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia1_utt1.mp4,/root/autodl-tmp/data/datasets/meld/annotations/train_sent_emo.csv#Dialogue_ID=1&Utterance_ID=1,0.00,2.23,en,high,high,high,true,true
EAQ000017,MELD,test,MELD/test/dia0/utt0,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/output_repeated_splits_test/dia0_utt0.mp4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/output_repeated_splits_test/dia0_utt0.mp4,/root/autodl-tmp/data/datasets/meld/annotations/test_sent_emo.csv#Dialogue_ID=0&Utterance_ID=0,0.00,2.27,en,high,high,high,true,true
EAQ000018,MELD,test,MELD/test/dia0/utt1,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/output_repeated_splits_test/dia0_utt1.mp4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/output_repeated_splits_test/dia0_utt1.mp4,/root/autodl-tmp/data/datasets/meld/annotations/test_sent_emo.csv#Dialogue_ID=0&Utterance_ID=1,0.00,6.78,en,high,high,high,true,true
EAQ000019,MELD,test,MELD/test/dia1/utt2,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/output_repeated_splits_test/dia1_utt2.mp4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/output_repeated_splits_test/dia1_utt2.mp4,/root/autodl-tmp/data/datasets/meld/annotations/test_sent_emo.csv#Dialogue_ID=1&Utterance_ID=2,0.00,3.19,en,high,high,high,true,true
EAQ000020,MELD,test,MELD/test/dia2/utt4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/output_repeated_splits_test/dia2_utt4.mp4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/output_repeated_splits_test/dia2_utt4.mp4,/root/autodl-tmp/data/datasets/meld/annotations/test_sent_emo.csv#Dialogue_ID=2&Utterance_ID=4,0.00,3.44,en,high,high,high,true,true
