ea_id,source_dataset,source_split,source_id,video_path,audio_path,text_path,start,end,language,face_quality,audio_quality,text_quality,usable_for_micro,usable_for_l4,is_sarcasm_candidate,candidate_reason
EAQ100000,MELD,train,MELD/train/dia0/utt0,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt0.mp4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt0.mp4,/root/autodl-tmp/data/datasets/meld/annotations/train_sent_emo.csv#Dialogue_ID=0&Utterance_ID=0,0.00,5.67,en,medium,medium,high,true,true,false,
EAQ100001,MELD,train,MELD/train/dia0/utt1,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt1.mp4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt1.mp4,/root/autodl-tmp/data/datasets/meld/annotations/train_sent_emo.csv#Dialogue_ID=0&Utterance_ID=1,0.00,1.50,en,medium,medium,high,true,true,false,
EAQ100002,MELD,train,MELD/train/dia0/utt2,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt2.mp4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt2.mp4,/root/autodl-tmp/data/datasets/meld/annotations/train_sent_emo.csv#Dialogue_ID=0&Utterance_ID=2,0.00,2.95,en,medium,medium,high,true,true,false,
EAQ100003,MELD,train,MELD/train/dia0/utt3,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt3.mp4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt3.mp4,/root/autodl-tmp/data/datasets/meld/annotations/train_sent_emo.csv#Dialogue_ID=0&Utterance_ID=3,0.00,2.75,en,medium,medium,high,true,true,false,
EAQ100004,MELD,train,MELD/train/dia0/utt4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt4.mp4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt4.mp4,/root/autodl-tmp/data/datasets/meld/annotations/train_sent_emo.csv#Dialogue_ID=0&Utterance_ID=4,0.00,6.46,en,medium,medium,high,true,true,false,
EAQ100005,MELD,train,MELD/train/dia0/utt5,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt5.mp4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt5.mp4,/root/autodl-tmp/data/datasets/meld/annotations/train_sent_emo.csv#Dialogue_ID=0&Utterance_ID=5,0.00,3.21,en,medium,medium,high,true,true,false,
EAQ100006,MELD,train,MELD/train/dia0/utt6,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt6.mp4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt6.mp4,/root/autodl-tmp/data/datasets/meld/annotations/train_sent_emo.csv#Dialogue_ID=0&Utterance_ID=6,0.00,3.09,en,medium,medium,high,true,true,false,
EAQ100007,MELD,train,MELD/train/dia0/utt7,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt7.mp4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt7.mp4,/root/autodl-tmp/data/datasets/meld/annotations/train_sent_emo.csv#Dialogue_ID=0&Utterance_ID=7,0.00,5.71,en,medium,medium,high,true,true,false,
EAQ100008,MELD,train,MELD/train/dia0/utt8,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt8.mp4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt8.mp4,/root/autodl-tmp/data/datasets/meld/annotations/train_sent_emo.csv#Dialogue_ID=0&Utterance_ID=8,0.00,1.00,en,medium,medium,high,true,true,false,
EAQ100009,MELD,train,MELD/train/dia0/utt9,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt9.mp4,/root/autodl-tmp/data/datasets/meld/extracted/MELD.Raw/train_splits/dia0_utt9.mp4,/root/autodl-tmp/data/datasets/meld/annotations/train_sent_emo.csv#Dialogue_ID=0&Utterance_ID=9,0.00,2.24,en,medium,medium,high,true,true,false,
