source_dataset,source_id,ea_id
MELD,MELD/train/dia0/utt4,EAQ000012
MELD,MELD/train/dia0/utt10,EAQ000013
MELD,MELD/train/dia0/utt12,EAQ000014
MELD,MELD/train/dia1/utt0,EAQ000015
MELD,MELD/train/dia1/utt1,EAQ000016
MELD,MELD/test/dia0/utt0,EAQ000017
MELD,MELD/test/dia0/utt1,EAQ000018
MELD,MELD/test/dia1/utt2,EAQ000019
MELD,MELD/test/dia2/utt4,EAQ000020
MELD,MELD/train/dia0/utt0,EAQ100000
MELD,MELD/train/dia0/utt1,EAQ100001
MELD,MELD/train/dia0/utt2,EAQ100002
MELD,MELD/train/dia0/utt3,EAQ100003
MELD,MELD/train/dia0/utt5,EAQ100005
MELD,MELD/train/dia0/utt6,EAQ100006
MELD,MELD/train/dia0/utt7,EAQ100007
MELD,MELD/train/dia0/utt8,EAQ100008
MELD,MELD/train/dia0/utt9,EAQ100009
MELD,MELD/train/dia0/utt11,EAQ100011
MELD,MELD/train/dia0/utt13,EAQ100013
MELD,MELD/train/dia1/utt2,EAQ100016
MELD,MELD/train/dia1/utt3,EAQ100017
MELD,MELD/train/dia1/utt4,EAQ100018
MELD,MELD/train/dia1/utt5,EAQ100019
MELD,MELD/train/dia1/utt8,EAQ100020
MELD,MELD/train/dia2/utt0,EAQ100021
MELD,MELD/train/dia2/utt1,EAQ100022
MELD,MELD/train/dia2/utt2,EAQ100023
MELD,MELD/train/dia2/utt3,EAQ100024
MELD,MELD/train/dia2/utt4,EAQ100025
MELD,MELD/train/dia2/utt5,EAQ100026
MELD,MELD/train/dia2/utt6,EAQ100027
MELD,MELD/train/dia2/utt7,EAQ100028
MELD,MELD/train/dia2/utt8,EAQ100029
MELD,MELD/train/dia2/utt9,EAQ100030
MELD,MELD/train/dia2/utt10,EAQ100031
MELD,MELD/train/dia2/utt11,EAQ100032
MELD,MELD/train/dia2/utt12,EAQ100033
MELD,MELD/train/dia3/utt0,EAQ100034
MELD,MELD/train/dia3/utt1,EAQ100035
MELD,MELD/train/dia3/utt2,EAQ100036
MELD,MELD/train/dia3/utt3,EAQ100037
MELD,MELD/train/dia3/utt4,EAQ100038
MELD,MELD/train/dia3/utt5,EAQ100039
MELD,MELD/train/dia3/utt6,EAQ100040
MELD,MELD/train/dia3/utt8,EAQ100041
MELD,MELD/train/dia3/utt9,EAQ100042
MELD,MELD/train/dia4/utt0,EAQ100043
MELD,MELD/train/dia4/utt1,EAQ100044
MELD,MELD/train/dia4/utt2,EAQ100045
MELD,MELD/train/dia4/utt3,EAQ100046
MELD,MELD/train/dia4/utt4,EAQ100047
