ea_id,source_dataset,source_split,source_id,video_path,audio_path,text_path,start,end,language,face_quality,audio_quality,text_quality,usable_for_micro,usable_for_l4,raw_emotion,raw_sentiment,raw_valence,raw_arousal,weak_label_hint,label_source
EAQ005787,MOSEI,unknown,MOSEI/cSrM5mHACmA/1,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Videos/Full/Combined/cSrM5mHACmA.mp4,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Audio/Full/WAV_16000/cSrM5mHACmA.wav,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Labels/extreme_sentiment_results.csv#1,0.00,0.00,en,high,high,high,true,true,0,2,,,positive,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Labels/extreme_sentiment_results.csv#cSrM5mHACmA/1
EAQ005788,MOSEI,unknown,MOSEI/wNx1ZnQ0MDQ/6,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Videos/Full/Combined/wNx1ZnQ0MDQ.mp4,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Audio/Full/WAV_16000/wNx1ZnQ0MDQ.wav,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Labels/extreme_sentiment_results.csv#6,0.00,0.00,en,high,high,high,true,true,0,0,,,neutral,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Labels/extreme_sentiment_results.csv#wNx1ZnQ0MDQ/6
EAQ005789,MOSEI,unknown,MOSEI/Uu_XyXyKHAk/10,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Videos/Full/Combined/Uu_XyXyKHAk.mp4,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Audio/Full/WAV_16000/Uu_XyXyKHAk.wav,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Labels/extreme_sentiment_results.csv#10,0.00,0.00,en,high,high,high,true,true,0,-2,,,negative,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Labels/extreme_sentiment_results.csv#Uu_XyXyKHAk/10
EAQ005790,MOSEI,unknown,MOSEI/UXvMaHD9kmA/8,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Videos/Full/Combined/UXvMaHD9kmA.mp4,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Audio/Full/WAV_16000/UXvMaHD9kmA.wav,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Labels/extreme_sentiment_results.csv#8,0.00,0.00,en,high,high,high,true,true,0,0,,,neutral,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Labels/extreme_sentiment_results.csv#UXvMaHD9kmA/8
EAQ005791,MOSEI,unknown,MOSEI/xZ1FrxU6hcg/6,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Videos/Full/Combined/xZ1FrxU6hcg.mp4,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Audio/Full/WAV_16000/xZ1FrxU6hcg.wav,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Labels/extreme_sentiment_results.csv#6,0.00,0.00,en,high,high,high,true,true,0,0,,,neutral,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Labels/extreme_sentiment_results.csv#xZ1FrxU6hcg/6
EAQ005792,MOSEI,unknown,MOSEI/hntnelpiyl8/11,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Videos/Full/Combined/hntnelpiyl8.mp4,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Audio/Full/WAV_16000/hntnelpiyl8.wav,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Labels/extreme_sentiment_results.csv#11,0.00,0.00,en,high,high,high,true,true,0,2,,,positive,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Labels/extreme_sentiment_results.csv#hntnelpiyl8/11
EAQ005793,MOSEI,unknown,MOSEI/kZfcQ4a0kx4/7,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Videos/Full/Combined/kZfcQ4a0kx4.mp4,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Audio/Full/WAV_16000/kZfcQ4a0kx4.wav,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Labels/extreme_sentiment_results.csv#7,0.00,0.00,en,high,high,high,true,true,0,2,,,positive,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Labels/extreme_sentiment_results.csv#kZfcQ4a0kx4/7
EAQ005794,MOSEI,unknown,MOSEI/Xq7zLxYHxd8/4,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Videos/Full/Combined/Xq7zLxYHxd8.mp4,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Audio/Full/WAV_16000/Xq7zLxYHxd8.wav,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Labels/extreme_sentiment_results.csv#4,0.00,0.00,en,high,high,high,true,true,0,1,,,positive,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Labels/extreme_sentiment_results.csv#Xq7zLxYHxd8/4
EAQ005795,MOSEI,unknown,MOSEI/f6S2XNPIiFk/4,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Videos/Full/Combined/f6S2XNPIiFk.mp4,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Audio/Full/WAV_16000/f6S2XNPIiFk.wav,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Labels/extreme_sentiment_results.csv#4,0.00,0.00,en,high,high,high,true,true,0,-1,,,negative,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Labels/extreme_sentiment_results.csv#f6S2XNPIiFk/4
EAQ005796,MOSEI,unknown,MOSEI/2JY5HXBWO84/29,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Videos/Full/Combined/2JY5HXBWO84.mp4,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Audio/Full/WAV_16000/2JY5HXBWO84.wav,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Labels/extreme_sentiment_results.csv#29,0.00,0.00,en,high,high,high,true,true,0,0,,,neutral,/root/autodl-tmp/data/datasets/baidupcs/CMU-MOSEI/extracted/Raw/Labels/extreme_sentiment_results.csv#2JY5HXBWO84/29
