ea_id,source_dataset,source_split,source_id,video_path,audio_path,text_path,start,end,language,face_quality,audio_quality,text_quality,usable_for_micro,usable_for_l4,is_sarcasm_candidate,candidate_reason
EAQ200000,MUStARD,all,1_10004,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10004.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10004.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_10004,0.00,,en,medium,medium,high,true,true,false,
EAQ200001,MUStARD,all,1_10009,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10009.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10009.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_10009,0.00,,en,medium,medium,high,true,true,false,
EAQ200002,MUStARD,all,1_1001,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_1001.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_1001.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_1001,0.00,,en,medium,medium,high,true,true,false,
EAQ200003,MUStARD,all,1_1003,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_1003.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_1003.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_1003,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200004,MUStARD,all,1_10190,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10190.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10190.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_10190,0.00,,en,medium,medium,high,true,true,false,
EAQ200005,MUStARD,all,1_10462,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10462.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10462.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_10462,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200006,MUStARD,all,1_10495,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10495.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10495.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_10495,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200007,MUStARD,all,1_10496,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10496.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10496.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_10496,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200008,MUStARD,all,1_105,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_105.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_105.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_105,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200009,MUStARD,all,1_10748,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10748.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10748.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_10748,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200010,MUStARD,all,1_10797,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10797.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10797.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_10797,0.00,,en,medium,medium,high,true,true,false,
EAQ200011,MUStARD,all,1_10810,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10810.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10810.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_10810,0.00,,en,medium,medium,high,true,true,false,
EAQ200012,MUStARD,all,1_10829,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10829.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10829.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_10829,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200013,MUStARD,all,1_10849,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10849.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10849.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_10849,0.00,,en,medium,medium,high,true,true,false,
EAQ200014,MUStARD,all,1_10853,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10853.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10853.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_10853,0.00,,en,medium,medium,high,true,true,false,
EAQ200015,MUStARD,all,1_10857,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10857.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10857.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_10857,0.00,,en,medium,medium,high,true,true,false,
EAQ200016,MUStARD,all,1_10859,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10859.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10859.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_10859,0.00,,en,medium,medium,high,true,true,false,
EAQ200017,MUStARD,all,1_10890,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10890.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10890.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_10890,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200018,MUStARD,all,1_10977,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10977.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_10977.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_10977,0.00,,en,medium,medium,high,true,true,false,
EAQ200019,MUStARD,all,1_11006,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11006.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11006.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11006,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200020,MUStARD,all,1_11021,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11021.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11021.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11021,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200021,MUStARD,all,1_11042,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11042.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11042.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11042,0.00,,en,medium,medium,high,true,true,false,
EAQ200022,MUStARD,all,1_11046,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11046.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11046.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11046,0.00,,en,medium,medium,high,true,true,false,
EAQ200023,MUStARD,all,1_11051,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11051.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11051.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11051,0.00,,en,medium,medium,high,true,true,false,
EAQ200024,MUStARD,all,1_11055,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11055.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11055.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11055,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200025,MUStARD,all,1_11098,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11098.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11098.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11098,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200026,MUStARD,all,1_11120,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11120.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11120.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11120,0.00,,en,medium,medium,high,true,true,false,
EAQ200027,MUStARD,all,1_11177,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11177.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11177.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11177,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200028,MUStARD,all,1_11201,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11201.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11201.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11201,0.00,,en,medium,medium,high,true,true,false,
EAQ200029,MUStARD,all,1_11224,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11224.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11224.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11224,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200030,MUStARD,all,1_11232,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11232.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11232.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11232,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200031,MUStARD,all,1_11236,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11236.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11236.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11236,0.00,,en,medium,medium,high,true,true,false,
EAQ200032,MUStARD,all,1_11242,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11242.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11242.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11242,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200033,MUStARD,all,1_11243,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11243.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11243.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11243,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200034,MUStARD,all,1_11253,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11253.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11253.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11253,0.00,,en,medium,medium,high,true,true,false,
EAQ200035,MUStARD,all,1_11257,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11257.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11257.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11257,0.00,,en,medium,medium,high,true,true,false,
EAQ200036,MUStARD,all,1_11306,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11306.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11306.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11306,0.00,,en,medium,medium,high,true,true,false,
EAQ200037,MUStARD,all,1_11322,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11322.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11322.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11322,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200038,MUStARD,all,1_11378,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11378.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11378.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11378,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200039,MUStARD,all,1_11439,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11439.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11439.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11439,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200040,MUStARD,all,1_1144,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_1144.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_1144.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_1144,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200041,MUStARD,all,1_11485,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11485.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11485.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11485,0.00,,en,medium,medium,high,true,true,false,
EAQ200042,MUStARD,all,1_11526,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11526.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11526.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11526,0.00,,en,medium,medium,high,true,true,false,
EAQ200043,MUStARD,all,1_11529,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11529.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11529.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11529,0.00,,en,medium,medium,high,true,true,false,
EAQ200044,MUStARD,all,1_11609,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11609.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11609.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11609,0.00,,en,medium,medium,high,true,true,false,
EAQ200045,MUStARD,all,1_11697,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11697.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11697.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11697,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200046,MUStARD,all,1_11699,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11699.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11699.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11699,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200047,MUStARD,all,1_11723,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11723.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11723.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11723,0.00,,en,medium,medium,high,true,true,false,
EAQ200048,MUStARD,all,1_11736,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11736.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11736.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11736,0.00,,en,medium,medium,high,true,true,false,
EAQ200049,MUStARD,all,1_11773,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11773.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11773.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11773,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200050,MUStARD,all,1_1180,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_1180.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_1180.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_1180,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200051,MUStARD,all,1_1185,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_1185.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_1185.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_1185,0.00,,en,medium,medium,high,true,true,false,
EAQ200052,MUStARD,all,1_11885,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11885.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11885.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11885,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200053,MUStARD,all,1_11889,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11889.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11889.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11889,0.00,,en,medium,medium,high,true,true,false,
EAQ200054,MUStARD,all,1_1189,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_1189.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_1189.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_1189,0.00,,en,medium,medium,high,true,true,false,
EAQ200055,MUStARD,all,1_11901,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11901.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11901.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11901,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200056,MUStARD,all,1_11913,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11913.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11913.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11913,0.00,,en,medium,medium,high,true,true,true,mustard_label
EAQ200057,MUStARD,all,1_11924,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11924.mp4,/root/autodl-tmp/data/datasets/mustard/utterances_final/1_11924.mp4,/root/autodl-tmp/data/datasets/mustard/sarcasm_data.json#utterance_id=1_11924,0.00,,en,medium,medium,high,true,true,true,mustard_label
